Number of true negative reads: 1857.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
62b4b0d6-1bab-42f0-12ec-6b267db819d5	-	-	*	*
73c6406c-aa5a-5d60-a9f9-8f9fdf0881da	-	-	*	*
1d3a9b9e-48c7-2507-7e82-655122f63f43	-	-	*	*
93d4b7fe-4f6c-4457-4eb6-483a40059f5a	-	-	*	*
6ad7da4c-1c20-2cd2-0430-c6790b319c46	-	-	*	*
ad9f7fce-39c6-a7be-6a37-1fd4f7cf3fa0	-	-	*	*
64e267e3-9750-bbc1-7944-72197ae68798	-	-	*	*
e4423d20-d182-f83e-931c-657f7d73fe81	-	-	*	*
9b669cf4-2600-5fd8-c03c-300b0ea79e75	-	-	*	*
e8dcb008-0ad2-043f-e7f8-eb1fb65e1c2d	-	-	*	*
319bd304-76a5-04c1-6acb-dc7a4a299d34	-	-	*	*
dc52e0f0-834e-de09-ce9c-a6ca0a366138	-	-	*	*
3f803eb4-3736-4b9b-58f8-33c67dc154a7	-	-	*	*
18348a8f-e459-0688-8a36-8de5d0e788e7	-	-	*	*
910c04c0-e6c7-cf4e-2ec8-914ad3c5d70e	-	-	*	*
211838e4-a810-2a85-ed24-2afcbc1533bc	-	-	*	*
6e19196f-5412-fba9-1876-2827bc7076fe	-	-	*	*
54dd5458-1ffd-0a20-f9cc-cd5b28f14add	-	-	*	*
aaab17ab-fb8e-d43b-64f6-1ecd6a3b0f0d	-	-	*	*
8804dd61-ad24-f81c-37fc-e71344a6db80	-	-	*	*
6070933f-ea97-92b8-909c-91bb80123606	-	-	*	*
c61757cb-4e18-325c-3c86-4b195532ef06	-	-	*	*
2a9a9b46-f28d-deb0-01b7-091cdc5ca62c	-	-	*	*
728ca19a-0696-db69-c3ca-f81a85fb93b1	-	-	*	*
f4d24960-3e24-69c7-a6e3-693a4a48d7ea	-	-	*	*
5cf893aa-53f3-d9c2-6264-926e4f4827d3	-	-	*	*
1c5f8cf8-2f93-1991-23ae-4555488647b2	-	-	*	*
d61ad9b2-08ac-a1da-f9cc-7e3dce5b25dd	-	-	*	*
2ee0b2f3-9c35-036d-d205-9e855ebc36ac	-	-	*	*
e4816d9b-e838-4eaf-bcfd-9dc0c7cdab4c	-	-	*	*
0915840f-eeb8-5465-2c40-b162030693e1	-	-	*	*
3ba59909-25ea-9ad7-6498-573cfba5e87c	-	-	*	*
2defb578-e4ce-1195-53eb-98d894ba43ab	-	-	*	*
f5257bac-5ce2-f98c-b216-40d69b92100c	-	-	*	*
6ca90709-a463-251b-85b7-5f6ebfdc5268	-	-	*	*
7bd44f01-a603-708a-1235-fe2090a511bb	-	-	*	*
438529e7-3159-9a8f-2061-5afcc40c63aa	-	-	*	*
