Number of true positive reads: 38490.

id	correct_species_taxid	kraken_species_taxid
da261f80-fe28-9afd-5e04-2fe647f6c151	287	287
ade295d9-3b98-26c1-b853-d0f4bb032446	28901	28901
7a294342-6a86-7ddd-42d5-4b6d8513ef65	1280	1280
367b885e-b9fd-e632-d7fa-d492fe9f01e5	1639	1639
6887d888-ffc9-3c0f-0bfb-d95e911d4099	1280	1280
4e651148-71c5-6e6e-0cdf-77693c8b45fe	562	562
345ab380-0573-b6cb-0e7c-cff952d2d006	1613	1613
16c8500d-f3b9-ee64-7ad3-04f63dde9ba6	28901	28901
7b3c1596-9242-c17b-de46-224d8a540c84	1351	1351
dfcd0275-e091-777a-d410-21af440c6986	1423	1423
cf934434-a26d-c390-6bcb-60143bd43062	1423	1423
a5b2f209-d645-dda3-a92c-4b4201c4b4ec	287	287
ea4fb61f-67e0-aeaf-86e3-cf89651a62cf	1351	1351
7c8a15f0-eb32-6185-198b-4d2b181ce09b	1423	1423
918a3551-7dc5-1fba-047a-69be3fc1d3b6	1639	1639
eddae141-a8ef-7f1e-b5d6-c16758cd229f	287	287
a95dc10a-2c73-6030-99bc-1dbb3d7022c0	562	562
e3de70e4-5a45-3d07-480d-7aa6f95ab3fa	28901	28901
8df50979-03a5-01b0-f75f-25da97a57fcd	1639	1639
1b961ada-99b8-2ce4-4b4b-f81467360442	1351	1351
a96257a5-5eed-8c15-ea3e-55b69ff60533	1423	1423
a78f2a92-bf50-d0dc-3576-38ba2b00352c	562	562
e735b8ef-ac58-c2f1-fbb8-fdc28d5d7ccd	1639	1639
6f103de8-c30f-bb57-5b02-b2085310ee8b	562	562
bbd75dfe-b6b1-24f3-0b50-853bacda9cf0	562	562
3022683f-990e-c2cd-6bca-183b897f9f7b	562	562
ba0e8174-3b0a-4ee4-5d93-ef58c6e80009	287	287
52bad524-3cf6-71c4-68a2-2e49e45a4ad6	562	562
ea07f231-808d-ae54-8acc-2752254d930f	1351	1351
a5dea648-37c7-7cf1-e0cb-ce2ef077b31f	1423	1423
79d3b403-8d5e-10cd-d45e-ac40d4a044f5	562	562
cd34a65c-7365-af48-2ded-f5caceca96f2	28901	28901
44cc0e00-ad46-07be-dd87-f88151d2b484	28901	28901
252f985f-d253-611c-4fa9-3a4a31863c29	562	562
5ab0d9ef-e7f5-fca5-e449-a0e1ea170fad	1351	1351
9c721fa5-8227-14e5-8d1c-2b1355e91fb9	562	562
e8536463-f44b-f853-3ce0-4c02c3ddc825	287	287
d62a8b1f-695a-2082-ddc8-859a497c0d1d	562	562
f132950b-7c89-d827-e2ce-9d7e8d88226a	562	562
81125379-36fd-594a-796e-f6742224f594	1639	1639
3ce54fb8-aa42-5871-e2ba-75f4a596d965	562	562
c3ebf9c5-9555-4051-8c8f-f406b45b46c6	562	562
8478ad70-fb2f-886e-5f91-6af736455a3d	287	287
47d683e9-3ec3-2547-c325-e4579ecd92d5	1423	1423
440f9974-560c-3ff0-653d-7f9f200009a5	562	562
36c6c9ad-1e8a-8176-ee00-a06905f79ce0	1351	1351
84beaf19-a802-9315-e37b-18fe8b698a36	1423	1423
911d70b3-feac-5bb2-fbd2-38d684c0b72d	1351	1351
a1f4eeca-6875-5757-e5de-dff52fff883e	287	287
391686be-d728-5839-e413-1b659780257a	1423	1423
89a2e9a4-99d4-97d9-9006-84c469098c37	1423	1423
ce4ce25a-1d41-8118-2547-af4bd5a98adf	287	287
21601fb3-ea89-d072-6cf3-cab23887a29b	1639	1639
d3d13164-f4e3-5ff1-0cc4-488b7a5785d8	287	287
6cab446d-ced9-c8ef-b7eb-e149b7516472	1280	1280
61196991-f217-8ed0-5947-973c1f38a8e0	1280	1280
38aa177d-add2-8f03-4f19-b0d96f9f484f	562	562
079c2afe-4125-d009-56ca-66bddf56d518	287	287
5a299125-6631-b2b2-8207-60cd97855cc9	287	287
1afa4051-c62f-e080-26c0-30f14e4da373	1613	1613
0d744b88-e845-6241-6c9a-cea46952743d	1639	1639
7109fec7-243f-b1f3-c5f3-decb7a98ae53	562	562
96bb94af-7eaa-b44e-c8ba-dc2af7bdd3e9	1639	1639
