Number of false negative reads: 1999.

id	correct_species_taxid	kreken_species_taxid
17e6bfce-55d1-2057-4209-9ab5843fc85f	1351	*
9bb3865b-b5bc-06ff-6b26-6c63ccfbb9f7	1613	*
b501746e-35b3-8b11-abc7-40a9ea957d02	562	*
40f050b9-1e61-a12f-d24a-f05b8e227d32	287	*
08f80117-e83e-5209-90ae-d11e924fd4e3	1639	*
1c4fb806-7f9f-b2f7-d091-35faddc78f8a	287	*
eeae1c45-e4ce-05c9-6db8-561a9c51dc8e	1351	*
e8f9aba2-0d14-4016-3919-f996cac593d0	1639	*
a6db661b-9c47-7762-aacc-660469ae61cf	287	*
9e952084-a453-4d79-8522-aa3e35121fc7	562	*
c90e79fc-f71a-f6a2-7bb2-76ec539c8f7b	287	*
1b2cdcaa-bdcc-5de7-dcc8-97c3e7906edf	1423	*
53cf2546-c71f-5c4f-169c-eaa0fb1534ed	287	*
591bbc97-4aa1-7205-747e-f7426f7db5b7	28901	*
4b6f51bf-da4e-d0bd-abb3-4dc4af5b2e44	28901	*
43579349-f49e-4f6a-bc3a-1c3d516d8542	1351	*
77b8f218-1c16-a025-92fa-fa73bea3086b	562	*
bfdfb631-4fbf-2444-1f72-aa3a2bc4077e	1423	*
fd5b1760-61bf-1552-c6dd-61bbf56dd5ea	1351	*
e95ddcee-124a-4c69-efd9-d420d391a98e	562	*
e4b47e7c-60e3-8610-bc14-b1e8d9464a6a	28901	*
6c651aca-d3be-ccb1-ade6-92966f2c4318	287	*
ca2cc662-0fcb-8795-7d91-540ec5679e29	1280	*
f35d8c41-257c-367a-66c5-a2480ebc6486	287	*
759c1839-95d4-ef42-a332-8ab1abddab87	1280	*
5655cbf3-258c-70ad-7c71-e099b056600f	28901	*
fba86ea1-0c9d-e7cc-6ac5-f27769e17aaa	1280	*
35503ade-740d-bf8e-89b3-a1a62b5fc39d	1639	*
026d5102-dcb6-3f06-9771-0a3210456e63	287	*
bda27518-ae3b-0e86-46ea-b6af52c9773f	562	*
1f80727d-7de3-0668-c38e-761d1de68bb4	28901	*
3017afa8-a942-05d3-eadb-4b2cb6da680b	28901	*
bbc757db-5b33-82ee-a51a-e13e3d00db6b	28901	*
f2b4d90c-e5f6-ba14-c8cc-5b61edbccbd6	28901	*
4d3e40fb-8270-5561-546c-127ab8558817	1639	*
b9b45feb-a72d-0e52-8a1a-d56f8e1995d4	1639	*
8c32bfc3-9989-2eca-b021-576a40f97bf0	1423	*
590b0fc9-a50c-f853-b2bd-2b1c98372c87	287	*
7a2c6112-665e-70e5-e500-e188983b990b	1351	*
2ecddb45-ee67-a0a4-1580-f36139fef55d	28901	*
c7027851-42d6-fccc-2b06-f5d12bcbb6fd	287	*
c88d5be9-64ae-f4ed-3c88-6a3f5b6688ee	1280	*
5c7152b0-6115-fdd9-3789-c5f8a2df535f	1423	*
27df9069-147c-7072-e696-7e481c79a3bf	1639	*
a92ff46a-b4ec-d445-0254-3c4c4444b4d3	28901	*
c1abca7d-d205-d4bc-6514-b40bd29218a5	562	*
25c4b31d-b34f-c7dd-a029-cb6c25b29e57	1280	*
4e38821b-699e-3e2f-e882-022bc5597e19	1351	*
e1fcf5a7-07c9-3dcf-d2ed-b61baa69b89d	287	*
58e151ec-2ed4-a6b9-5c1d-1b4ff203cd09	1613	*
b9f12fe1-942b-1518-5384-10a4d465fdc5	287	*
c885f751-cb87-5e94-f0cf-fd33c158ec2c	1351	*
8add9bee-5cc4-7f3b-44cb-3d32f3f799df	562	*
565d2723-0a70-ada8-aa18-e0e908431290	28901	*
95ecf5d0-5cd4-ded5-dc24-3b1ba91e8417	1351	*
6d525341-6c2d-f8d0-6744-9c375839273a	1280	*
12e46f09-23f1-90a6-c895-07f91a276e64	287	*
11bb8087-13fc-afb2-4619-621f6b8b702c	562	*
30c18598-4210-f80c-73ff-1a3393e79c61	287	*
afad02f8-f5d1-7f37-d00a-bada93540510	28901	*
e464c36d-afad-a0b3-5cdd-1a3b436a59de	1639	*
f96a9d83-4bbd-65f0-35a5-18a544e27b2a	1423	*
c19f762f-c1c6-309d-2f4f-e667aa6f3da0	287	*
5fbd6a1b-19af-7290-b819-7de8dcec35b8	287	*
09268e52-b38d-66a9-856a-3d9492874882	1351	*
fc462283-ad05-7a03-fe80-4d1266ea26a5	1639	*
1e446162-e98c-8a96-ed93-963a6584121c	28901	*
bb7506f6-500d-eb02-b65d-5a377134f94b	287	*
3c30c5f8-811f-d9dd-59c6-e9b803a5d347	1280	*
f452f625-76f5-4a54-7a6c-fe1dfe553559	1351	*
cc6e5b8a-2b2a-cba1-5f6b-f17e6fb474bd	28901	*
3c50abf3-1b3e-1e2c-e458-7f7bd745f4ad	28901	*
a1252d3a-64eb-f3bc-0c3a-3f8555e096ce	28901	*
0d924073-768a-c415-b078-7b428301e279	1639	*
907a081d-fbc9-03d9-93d1-db35fa471f38	1639	*
b40ce6db-e0f4-e2c4-a645-1b14f0878bde	287	*
97faffa2-34cb-9abf-1510-e10738fe83ce	1351	*
3173ec0d-c7c6-24e3-8c7b-17c2cd8e7aaf	287	*
869f1b83-cd3f-65ba-ccb7-2c627d559de6	287	*
7d8a2247-14fc-cd09-c1ae-d1529d6976f8	287	*
ce5dc3cc-3c37-0aa9-8ecc-7540ff4afc27	287	*
4dcf3816-de07-49a7-4c4a-40b0dab4361f	28901	*
00f55400-c20e-71e2-ec71-792823c8a9e7	1280	*
c3cfb7b9-d7dc-0486-2485-69349621daed	287	*
c3987adb-b422-b8f8-e511-1c3c670045f9	562	*
edbefaeb-c44f-2c5c-9049-fe489fc9a6b2	287	*
b8628713-03a4-ed87-3c77-b4c9bba322c8	562	*
703b68c9-ca75-a673-a5fa-27fba3ea6794	1613	*
c543d343-ee81-5b03-1c2b-036477358e3a	1423	*
8282756f-0d52-614e-789b-ff33e986c32c	1280	*
ff699aa8-3d0a-b26b-76dc-32c0b3248efe	1351	*
6c41c1ea-be5c-953a-7ce6-03864135feed	1639	*
3f02a758-509e-0eb6-1772-04959d48be74	287	*
9432d012-09c8-c3db-9595-dfa24d3c0f72	1351	*
19f23584-5785-2273-8017-86e0a49b0fb6	1351	*
63aee12e-8a4f-848a-94fb-986f9942f649	1639	*
4a5dadf8-cb7a-dde8-d24c-046fd3f0791b	1639	*
4b889124-8246-1e0c-a558-7841a95ca7e4	28901	*
0e5ce25f-3813-39c3-4b2b-eaa1135154ed	1423	*
6461425a-079d-1442-f3f7-49ffcd3bacb3	287	*
8a82a3f2-cc07-3272-a83b-df382e99f037	287	*
e863ef13-9695-cbef-56a7-827146ae1f34	562	*
9fa8e83d-ebdb-8735-1452-fb6c13056d5e	562	*
965fde5e-9cae-55e1-571c-a848cce3d70d	1639	*
be24528a-187b-8704-8967-d3dd96843421	28901	*
563197ca-fabd-156e-4556-2af2992a5069	1280	*
d492e02d-0ef7-c429-95a2-0b0992be3ff0	562	*
30a39188-4e2a-da12-9b61-048c128eb3c5	1613	*
b6da501c-1661-cb12-3df7-a57e8894fc42	1613	*
fb4485d9-207c-9a38-2247-a3c01993e5f6	1280	*
5b1ad836-5ace-b0e4-2ed4-43a85c23ea8e	1280	*
c3d88fb8-3ef7-f4ee-c883-846f7d8e1fd5	287	*
