Number of false positive reads: 403.

id	correct_species_taxid	kreken_species_taxid
2d9dd6b9-e9ab-5114-5040-21a4a5ab7c45	1351	562
4f49280b-7826-66a6-9f83-0435bf8496f6	1639	562
ad7c2f5a-961a-bc57-f429-923d94ad8f4e	1639	1280
78843d81-296d-3a75-5309-43565d82502d	1280	1639
e190cb79-abfc-6303-e7a3-c485754faf75	1639	91061
8f4188ba-f29b-4801-f6e1-d780fc14846f	1280	1639
741cde61-b931-2fff-1f13-221e2b6f0bd5	1613	1351
abae8f50-bea3-0f25-34c0-0bb401ef27ac	28901	543
f67f99e7-4b6b-d2f5-78a9-14cdd96fbd35	1423	28901
8e153cf6-5837-293e-5718-9a4b2d69dc9d	1639	287
bc1fac86-ec8d-e9e2-0f8f-7422885d48fd	?	562
1e44d292-3206-3d7a-665b-ba6347874d34	562	543
d0d8fbb1-dc81-fd58-5738-bb31a9f61f8f	1639	91061
4376fa13-7f38-dcd3-05d3-01dcd8f123f5	287	1639
f43c6c4a-79fd-0c8b-f89e-41706ccbadfb	1351	91061
9af6e05e-441e-b631-44f8-589a596d08c4	28901	287
575b1a88-cb24-001a-ae1a-65bc9a4dd915	1639	28901
9295ab96-336b-f47f-3521-20f08ba41ac1	1351	28901
4546f655-fd7c-0b33-4bae-396c72556381	287	1351
a2e0f6ca-ac9c-db37-bcdc-98f58e5a6a99	1613	287
08066ae2-0a79-434d-6175-f122ac18a5db	1351	91061
11477f49-95d6-f866-4c8b-c96d78400170	562	28901
eb58af87-667c-4671-b18e-f2ed62b5f562	1351	91061
9209533b-2bf1-98f6-be6f-a0cf6d97e30f	1423	287
78a986c3-15ed-133d-841f-22199a5897c8	287	28901
f5471945-dd19-c466-c286-d69bf3075989	28901	1639
3e4cc95c-1dba-c05f-d0ef-fc64e3ccfe36	1613	562
115fe802-c31b-f6a1-731b-62f37af9e167	1613	562
5d7eecb8-95d7-1f52-1b5e-246c4f66ee26	?	287
9f0290bd-d441-ee2c-a1dd-ab2546042a7f	1351	562
ec59caf5-1766-1144-8de2-2a4f13845cca	?	28901
814baa55-b911-b55d-8d14-81249de30de5	1613	1423
1b11040c-7a83-0b75-0a7a-39546f6bf8ac	1639	1613
19266e0f-3bbc-3dc0-fb3e-995631a388d1	1280	287
5a278cf7-e7c4-07de-85e4-9ec1c585871f	1280	562
cc56be0d-c749-67dc-e30b-5792fbe350e0	?	1423
71d7c2ba-7f15-85cd-ae7e-a38334074cfd	1280	287
7ac082f9-02fe-6634-c2d4-32e48ba0cecb	1280	562
dac06f2c-04f5-f0e0-32a2-b4bb7963d2ef	287	1613
22618d65-0f56-d03d-56ea-ad662d9c2697	1351	1639
ca0e5daf-ad1a-e3b8-f54e-ff18322378f4	562	28901
d3e985e1-14f7-0b75-584e-4689c74bfb19	28901	562
9c3b660d-1f56-98df-fdbb-357acc9a7570	1351	1423
d89440b3-30f9-095b-6d5c-f6fbc0cbd604	1423	287
042d167f-204e-5d6d-ef85-e9053fe8640e	1639	287
4fc12687-635b-03f4-3cf1-3610e73c0e7d	1423	562
db5a95b3-4b17-49b3-148f-7b0cbbfd3fbe	562	1639
beb04181-5930-4cb4-993c-77cf125b3fc2	562	287
79561079-ee51-86ae-c5b3-8f09bdcf73c8	28901	562
c64efdc0-9bfb-ef1a-cf52-3a3306c60109	1280	1639
5ca6bc17-7f3c-19a3-6a3c-6f2193e183ec	1351	91061
a3bfc665-fa3d-8d4e-bab8-43c0db6471d9	287	1280
ff1c7aaf-f9c0-4be9-a45a-9d1a17e69adc	1351	91061
14e55a2a-1d4a-bdf1-f46d-74fe43dc823d	1423	287
8433de1c-799e-01da-4218-3ba19707caad	28901	1423
e97161f0-bace-a72f-c0be-98be06e27a4a	1351	1639
3a165b34-3e9c-635d-f309-aef23166e397	562	1639
eb545307-83ec-2c2f-2ca6-3087a0d4bbe5	28901	1280
e5c1791e-8231-e83a-fd45-b4ed5ae3cc83	1351	91061
2b39e9f2-11e1-d4e1-080e-04c519395e21	28901	287
47951a1c-aaf4-4f7e-0741-0df094d542bf	287	562
7cee9274-2ef5-b419-641b-af5d594100f6	1351	1423
dceff1c6-57eb-2871-854f-de403c041bba	562	287
468bc50c-a08e-4a97-c4b6-2f43b5c4c15e	1639	91061
e8a79d8e-7ae2-dd8b-d2b4-7c364974a93a	562	1280
cfb84230-10ee-e465-4416-ce1933b4f98b	562	1639
a2ff8bdc-6e46-2f03-def9-2994ddf94adb	28901	1351
4f2077df-e003-974e-3da3-2eb5227f455b	?	562
d2f41ded-76f4-bcd5-1d1e-64144ceabd37	1351	91061
e4f6ab36-b246-a866-4b57-987efc9f12b9	287	1423
c1fbcc91-db8c-3574-82e8-e8ca6462efca	1351	91061
0bf1edde-5ff1-0ecd-9369-881de3a3cd24	1280	28901
5f066e99-8f13-e732-47cd-14b4dcee491e	1351	91061
ed9e8561-7ae2-ee36-17b8-403c4a5b5e9f	1639	562
8abd3380-1724-39b7-edd2-413d137e1096	287	1280
79f0b751-3d9b-12d1-8641-ac342e23217c	1613	1423
0f350742-69dc-f5b6-ebe3-d60d2b7d4261	562	1351
ded4883f-e144-43d9-5336-f28415b2deb0	287	1280
d683decc-63d0-141d-1e2d-31ea09bab584	1639	91061
0d91abb9-076f-b3c0-de73-137f0dac4d8e	562	1423
8764ecac-1b99-fa51-2b5e-a6806c024cdd	562	1280
73d7ee58-c7d0-5619-7fa8-93f5ac42d657	1351	28901
880ad726-bdfb-523f-debd-071cb5f03e71	28901	562
6f20d8ae-ed29-cce3-f11e-967d649c3d8f	1639	91061
93887036-44c3-fc01-4a79-bc1ee8205494	1423	1351
0771d862-75df-2150-53fc-34f642654279	287	1613
639471de-b24b-b956-ba92-b2d5b4fc9eb5	1423	28901
60cca35d-4512-7740-1787-f9e6ec271eca	1639	287
097ae183-3a39-d04b-45b0-fb2bf4cc4d71	1351	562
f0c1cf45-4b25-5af3-45c0-a6af58c3fd38	1639	1423
903d3f53-06ca-8517-1b59-99ad58bb326d	287	1423
