Number of false negative reads: 4264.

id	correct_species_taxid	kreken_species_taxid
0f375a8e-45de-4723-dde3-1293534db0d4	562	*
7e6e58be-8889-c690-8262-4af88c66e7ec	1351	*
14cdf4ec-0b02-e968-4d9a-8a2c09101bce	28901	*
72382a2f-4470-ce53-06f4-d2b4cd043060	817	*
08c5f125-2a90-869f-e83d-75c35f83c7ac	562	*
a02b5e52-052f-cffa-9edc-28e7f26a8262	851	*
d339894d-fe88-7fdf-cbeb-3aede4d69619	562	*
db2c149d-ccc9-10f2-a7e6-f76f02a9f632	1680	*
9f889989-3d05-38b7-6942-7c48df14d151	1502	*
4b60f151-f02a-7c00-9a33-fc736d8d3d27	28901	*
3b7e609b-f910-5255-bc49-b41eac080a12	562	*
a1b42461-cba6-0108-ffe1-32422d0c5367	423477	*
a8914d63-cc99-2f65-9951-4063eb7ad0d5	1496	*
d87d6e22-777c-4700-e784-4db1a0887760	562	*
a2219f10-fc88-13ee-6082-d69f2eb30f7b	239935	*
dd5decae-28e0-e2d7-3128-195c296e2fd7	28128	*
0f7bdec1-fd35-d0cb-3ca5-a2177a0cd42f	562	*
2b125c14-6525-55d8-e9cf-af13c79b8375	301301	*
534d7582-b47f-022c-2d12-40a772e46326	562	*
9d4a8b9f-7a89-4916-3bcf-952e3aa4b253	562	*
57105d28-2133-87cb-d9cd-54bd64305340	562	*
e8b24255-34d1-2c4a-51d7-fb5badd98e66	1496	*
c5ece7a2-2e98-888b-8e3e-7f9ad01535f8	562	*
d8be4296-7c82-f647-0c08-4248b060abbd	1502	*
a47bd662-e1b2-6958-2eaf-b127b56c9a51	562	*
6459023e-88b8-851b-400b-208b4a62b5d1	562	*
468d1fe2-cacf-35e0-6c7f-e23945bfde36	562	*
b2a7dafe-6dd8-e2cf-0706-dc2ef2bc0b50	562	*
ef45a57b-d96d-9e64-4e1e-60e1788ded45	1502	*
ffa3b89a-d162-f5d8-02a9-f2f084530039	851	*
2082a403-fcb5-e947-f7f5-5a18e2894680	562	*
f656b40a-fb0b-c5b1-9a17-ec159aff96b7	239935	*
69b0bd7c-fdeb-108d-a7f6-cb0f3daa1365	423477	*
b9d069a6-f4f5-133d-9e21-b08d589a7997	817	*
b27caa64-67c5-dc30-5839-207412f6a4e2	1680	*
e8118adb-b52d-c128-2c20-d6a9e4e7b592	1496	*
d387f6c5-949e-c119-7010-0fede1043308	1496	*
c8f5ba39-dc17-1395-4f29-70e6a44b0c73	562	*
08687a4f-d38c-2e04-3c99-cde2f043d9e7	562	*
da3894ee-57f9-1abc-3371-605369a2209f	562	*
c018d3aa-8d88-1471-d3a2-bb6cb3cad516	1502	*
dcf7cc7d-304b-801a-c3f8-d8e3b41e96f2	562	*
88af727c-0a96-269f-5df9-2b6b7068af00	562	*
cef531e9-d2c7-e121-d594-8ad3686c2cea	28128	*
894fcfc7-8043-fb5d-5b2e-9970788a49fb	239935	*
638345e3-8f90-f902-2a62-73f910606249	817	*
dd9196b6-a6f0-f93f-65b5-1459db115701	562	*
0a3ac07e-f9a1-69c5-a6d8-da5223a3e520	562	*
0f65c668-491d-f5dd-a811-9f45f3bcb8a3	562	*
1337857f-06a0-74bc-9729-bbe283359073	1502	*
febf1d60-0984-1d6e-fe69-59af63c28969	1613	*
85981544-a607-7424-2928-2f1d92808c68	301301	*
90ba21e4-ea32-dd42-ccf0-58e73b153c2b	1496	*
737de928-3d97-05dc-cf0c-2b45610d8067	1502	*
09d6df39-30d9-bd7c-e448-e1a578dd71c3	562	*
6785e520-4cd6-7645-ab42-1964b469de54	301301	*
2f281650-e432-bf77-c21f-26b5d4280f4c	28901	*
bdad34b3-c9c1-7ca6-ea0c-5151242680ce	1496	*
6b4181a9-2adf-f38c-1e97-28792ec9b75e	1502	*
ed185a6f-c1ab-29ec-99fd-c436d960d415	562	*
b2d3c7ce-94e7-a217-01f7-f1564891fecb	562	*
5dae0583-c935-c46c-fc3a-c72113dd62d6	562	*
0d687d7d-7565-3be1-1512-2e104c929e65	562	*
e977d0ac-d0fa-2f5c-8973-0b8024a78479	562	*
49b99b71-603e-bd5a-9723-d1ef01ab8b98	1613	*
6b80c281-0eb3-3024-eeda-18c0f4d02646	1496	*
5c107ab9-b7d5-585a-8fef-368dc38f4c6c	562	*
d62e8e7d-e569-391a-ee44-474514515914	562	*
834dffcb-6195-d059-97e0-47ac661128d0	1502	*
61e0b5e8-a442-9172-a414-fcaa5fbb6c13	562	*
1537de82-f3d9-1686-ec99-b167c4d9c88e	423477	*
88572956-3ca7-8e78-e27c-11d68e8e0555	1680	*
e965d9ee-8eec-f953-042a-52599497c2cd	562	*
0ffcb63f-82e9-4700-12f9-0a8d2523e1dc	28128	*
f0427a42-7d9c-2d14-ebfa-d81620a7655f	562	*
41efc9f1-fc8e-268f-3e54-7f33137ccee3	239935	*
ed28ebe5-2693-c31b-26bb-0639ef7e0d53	817	*
0768d76a-880b-a6bc-d8b8-369ba420ab30	817	*
ef12a218-3f3a-e236-2a02-39549bebd643	562	*
b2727f94-79d9-57c8-743a-4b595c0a1ab5	562	*
9278a980-8a65-97cb-9e0e-4877e3436373	239935	*
718e80f4-edc8-2d2f-22ed-2e3e7652b459	817	*
30fd63c8-8324-caf9-987e-5294fdd95656	1496	*
dd69f7d6-3b57-eddd-8fde-b626c30c0b74	28901	*
ab77d559-8dec-bcc6-3483-4e1efcdb27f4	1502	*
1065fc89-d43a-bdc4-27ad-6f699294097e	1351	*
df39bf02-9fcf-0be1-5387-bbbcc89b7c97	817	*
ddd3385d-0b5d-f892-a547-0ab917e74932	562	*
