Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
c06644f3-fcc8-1dcd-6667-e3a49e316d18	-	-	*	*
06e6ae3b-973c-096d-0897-81f3064ced27	-	-	*	*
ca998dea-791d-9f95-4bb1-172a554b9970	-	-	*	*
58e151ec-2ed4-a6b9-5c1d-1b4ff203cd09	1613	2742598	*	*
64b39a78-29c0-2486-9171-5caa44d2ace2	-	-	*	*
8037087c-7bb7-3927-2a9c-8bf46c6a2dc8	-	-	*	*
8add9bee-5cc4-7f3b-44cb-3d32f3f799df	562	561	*	*
c5e86eb4-a78d-9f1c-bfe0-7ab6532c9728	-	-	*	*
95ecf5d0-5cd4-ded5-dc24-3b1ba91e8417	1351	1350	*	*
318459d5-de4d-3731-ecb6-8d08bec737b4	-	-	*	*
afad02f8-f5d1-7f37-d00a-bada93540510	28901	590	*	*
d8900905-872c-1a71-9785-fa43950e0dca	-	-	*	*
c19f762f-c1c6-309d-2f4f-e667aa6f3da0	287	286	*	*
5fbd6a1b-19af-7290-b819-7de8dcec35b8	287	286	*	*
ff74d109-8b20-0d1b-6a94-f74cda3fbc8e	-	-	*	*
1e446162-e98c-8a96-ed93-963a6584121c	28901	590	*	*
bb7506f6-500d-eb02-b65d-5a377134f94b	287	286	*	*
cc6e5b8a-2b2a-cba1-5f6b-f17e6fb474bd	28901	590	*	*
22b360d5-ff1d-0d02-f720-3e9e31585648	-	-	*	*
8aefb477-0905-858d-0405-8ba4494d03b4	-	-	*	*
aa31da08-bb74-0c9e-0164-5dbc0d486f47	-	-	*	*
ce6ccf29-6d93-94e0-75f9-5a6648ab4364	-	-	*	*
a526994c-4b8c-d79f-47dc-e3f00dc8881c	-	-	*	*
246af263-58bc-3b45-2ab5-5667bda4884a	-	-	*	*
907a081d-fbc9-03d9-93d1-db35fa471f38	1639	1637	*	*
42c8e9ff-862d-b0fb-5985-cbdd95ecd396	-	-	*	*
97faffa2-34cb-9abf-1510-e10738fe83ce	1351	1350	*	*
ce5dc3cc-3c37-0aa9-8ecc-7540ff4afc27	287	286	*	*
d24d07e2-509c-5e07-01c7-d29a7f03e93c	-	-	*	*
6104a8bb-3dfc-503b-13b7-3f855338f79c	-	-	*	*
af6203a9-4bf9-16a2-6ebd-e3e78044f2b7	-	-	*	*
00f55400-c20e-71e2-ec71-792823c8a9e7	1280	1279	*	*
88b5d81a-a29c-5e03-9f9f-69e5997a52a0	-	-	*	*
c3cfb7b9-d7dc-0486-2485-69349621daed	287	286	*	*
1d867135-396b-b087-a6f2-3a97e9c85796	-	-	*	*
a6746a23-478f-b730-6e64-bb0a2f8a4b16	-	-	*	*
edbefaeb-c44f-2c5c-9049-fe489fc9a6b2	287	286	*	*
2578060c-af81-cacd-065a-af0aa6709dfe	-	-	*	*
b92fd3cb-bac7-e7df-6665-68eb0d38630d	-	-	*	*
063a13d4-3439-1378-32fd-78d3a2e4261a	-	-	*	*
703b68c9-ca75-a673-a5fa-27fba3ea6794	1613	2742598	*	*
4ca099d6-bb89-ec32-daca-92373e6186a9	-	-	*	*
e4203441-9299-a63d-293a-8ad3be3438c3	-	-	*	*
3ca1c1f0-b5c0-0de7-34d1-7fb863701888	-	-	*	*
ed8528a0-24b4-a2eb-2890-4ba20209e677	-	-	*	*
4b889124-8246-1e0c-a558-7841a95ca7e4	28901	590	*	*
0b4882a5-9cc6-35b6-ddad-a5072892d05f	-	-	*	*
e6496423-dee1-8130-2c16-18da90608fcd	-	-	*	*
965fde5e-9cae-55e1-571c-a848cce3d70d	1639	1637	*	*
ef157f59-4297-c09c-88e3-dfd8fee4b465	-	-	*	*
5b1ad836-5ace-b0e4-2ed4-43a85c23ea8e	1280	1279	*	*
82852837-0a42-70a2-fc84-f2b4116f0bf3	-	-	*	*
93daa8e9-19ca-0411-bec6-3a4ab85bafe1	-	-	*	*
1e64ef6c-a19e-65fd-bc98-7a39191249ff	1639	1637	*	*
cb1e1bf7-82c5-8f96-3271-0ade7a59f2c2	-	-	*	*
a11e61e8-5b6c-d7d1-7cf0-dc9a07bea707	-	-	*	*
0f6fafa7-42b7-f619-90eb-c1990ad1ebe3	28901	590	*	*
2e3acdd8-d714-89dc-409d-3e892c6007fe	1613	2742598	*	*
65dd647e-f241-792f-86e2-3896f184d187	28901	590	*	*
57f3051b-b7d4-8814-d27a-224423155acd	-	-	*	*
1d0c6620-6975-ada0-85c0-236437c40535	-	-	*	*
e67d8707-bdbd-b7f1-0184-7f02a65a00d7	-	-	*	*
0942c75e-6a17-abe9-b121-12111f2b5aa1	-	-	*	*
c2ba86a1-6bcd-efa9-9d25-0127faebc1dc	-	-	*	*
01d52860-997c-46cd-aa28-82094247fb77	287	286	*	*
52cee461-5de7-d7b3-eecf-ddb327469024	-	-	*	*
327514ce-0970-ca1c-31e2-5ec77da8e3f8	-	-	*	*
74a8b0b0-23a8-44b5-8bba-231c3265cece	-	-	*	*
9cc227a9-a54d-a120-8530-857e3d3096ed	-	-	*	*
fefe43d6-fae5-9815-2178-4ee08121fd38	1351	1350	*	*
6ae6025c-8389-e960-48a1-c2e115e689e6	-	-	*	*
10b2a3cb-e74c-45fe-e2bc-81eb8a2b6020	-	-	*	*
c1461532-b800-0036-fa95-e06685d96d0e	-	-	*	*
c2beb847-bd12-8669-e2b3-d29f5e1caf34	-	-	*	*
c5fc5765-eab9-0f0f-a2ca-01ab0b8da9c2	287	286	*	*
7eb9c52c-5b57-9c59-d643-63f10533fb8b	1280	1279	*	*
3bccc7b2-ea19-6750-5329-75639eae9c64	-	-	*	*
