Number of true negative reads: 2976.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
0f375a8e-45de-4723-dde3-1293534db0d4	562	561	*	*
1a35b8d8-a068-48d8-4494-218b5ef0b8db	-	-	*	*
b565cda0-fcd0-2845-75f8-fd5efe263dba	-	-	*	*
ad1575e7-686d-295a-4f33-73396f84a120	-	-	*	*
21f0849d-4351-4328-e187-f99aa4bc16c2	-	-	*	*
08c5f125-2a90-869f-e83d-75c35f83c7ac	562	561	*	*
16725460-62dd-dc65-7d13-d1ef80a3e14d	-	-	*	*
3b7e609b-f910-5255-bc49-b41eac080a12	562	561	*	*
f5233279-691e-2497-d5c6-97c6d94ec951	-	-	*	*
0f7bdec1-fd35-d0cb-3ca5-a2177a0cd42f	562	561	*	*
57105d28-2133-87cb-d9cd-54bd64305340	562	561	*	*
e8b24255-34d1-2c4a-51d7-fb5badd98e66	1496	1870884	*	*
d53a75b7-1d78-40f5-d633-76c7ed884c10	-	-	*	*
d8be4296-7c82-f647-0c08-4248b060abbd	1502	1485	*	*
9ad6f748-d3ec-5d64-f96e-0d67aa8f6e9f	-	-	*	*
b2a7dafe-6dd8-e2cf-0706-dc2ef2bc0b50	562	561	*	*
27ccad21-1ba4-f448-0f24-540128323a25	-	-	*	*
7a8f8692-b3f3-ea47-a245-8c0615066bfa	-	-	*	*
ffa3b89a-d162-f5d8-02a9-f2f084530039	851	848	*	*
9890c783-8b75-a23f-d863-09d3b3500ab0	-	-	*	*
69b0bd7c-fdeb-108d-a7f6-cb0f3daa1365	423477	29465	*	*
b27caa64-67c5-dc30-5839-207412f6a4e2	1680	1678	*	*
da3894ee-57f9-1abc-3371-605369a2209f	562	561	*	*
b9f7649b-0803-08e1-8c7b-18643c52683a	-	-	*	*
8e607729-b647-29b8-2042-4c56ef5111f6	-	-	*	*
0f25de0c-5a0d-c0a3-4cb2-fdce1f1d1d11	-	-	*	*
dd9196b6-a6f0-f93f-65b5-1459db115701	562	561	*	*
876cac86-4fcf-8432-4088-f44c1ab32d53	-	-	*	*
af89f37d-1108-e882-daf3-19eaa0f69067	-	-	*	*
d5257cac-3d78-8957-cc6b-1002702ef912	-	-	*	*
89cb003e-052a-9050-c37f-f5dc02d5545c	-	-	*	*
483619f4-2212-fff0-409a-a636226ac905	-	-	*	*
90ba21e4-ea32-dd42-ccf0-58e73b153c2b	1496	1870884	*	*
737de928-3d97-05dc-cf0c-2b45610d8067	1502	1485	*	*
f9d3aba3-b69f-7d53-39a3-008a37bd28e4	-	-	*	*
